# data from ifeffit
#------------------------
#   energy      xmu       bkg       preline      normline      ee        chie
  7205.3535        1.1137379        1.1297482      -0.20560344        1.1452016        83.353500      -0.16010300E-01
  7207.2492        1.1113734        1.1281200      -0.20668915        1.1430118        85.249200      -0.16746600E-01
  7209.1459        1.1091910        1.1264788      -0.20777547        1.1408240        87.145900      -0.17287800E-01
  7211.1209        1.1094735        1.1247572      -0.20890662        1.1385491        89.120900      -0.15283700E-01
  7213.0750        1.1128175        1.1230414      -0.21002577        1.1363017        91.075000      -0.10223900E-01
  7215.0412        1.1197526        1.1213025      -0.21115188        1.1340437        93.041200      -0.15499000E-02
  7217.0748        1.1290785        1.1194913      -0.21231662        1.1317118        95.074800       0.95872000E-02
  7219.0322        1.1381600        1.1177360      -0.21343769        1.1294707        97.032200       0.20424000E-01
  7221.2010        1.1431486        1.1157776      -0.21467985        1.1269914        99.201000       0.27371000E-01
  7223.3269        1.1401358        1.1138444      -0.21589740        1.1245653        101.32690       0.26291400E-01
  7225.4540        1.1303143        1.1118971      -0.21711571        1.1221415        103.45400       0.18417200E-01
  7227.5271        1.1164000        1.1099869      -0.21830300        1.1197832        105.52710       0.64131000E-02
  7229.6901        1.0995240        1.1079812      -0.21954185        1.1173266        107.69010      -0.84572000E-02
  7231.9100        1.0815925        1.1059096      -0.22081326        1.1148095        109.91000      -0.24317100E-01
  7234.0757        1.0654326        1.1038759      -0.22205366        1.1123580        112.07570      -0.38443300E-01
  7236.2428        1.0548029        1.1018290      -0.22329484        1.1099091        114.24280      -0.47026100E-01
  7238.4892        1.0525590        1.0996947      -0.22458139        1.1073749        116.48920      -0.47135700E-01
  7240.7815        1.0627457        1.0975041      -0.22589428        1.1047934        118.78150      -0.34758400E-01
  7243.0196        1.0736859        1.0953533      -0.22717613        1.1022773        121.01960      -0.21667400E-01
  7245.2257        1.0889298        1.0932218      -0.22843966        1.0998014        123.22570      -0.42920000E-02
  7247.5225        1.1001406        1.0909912      -0.22975508        1.0972284        125.52250       0.91494000E-02
  7249.8877        1.1054398        1.0886822      -0.23110973        1.0945834        127.88770       0.16757600E-01
  7252.2322        1.1045125        1.0863817      -0.23245251        1.0919664        130.23220       0.18130800E-01
  7254.4441        1.1010799        1.0842011      -0.23371938        1.0895017        132.44410       0.16878800E-01
  7256.8923        1.0972424        1.0817763      -0.23512155        1.0867788        134.89230       0.15466100E-01
  7259.2080        1.0958877        1.0794723      -0.23644780        1.0842081        137.20800       0.16415400E-01
  7261.6595        1.0970404        1.0770225      -0.23785189        1.0814916        139.65950       0.20017900E-01
  7263.9447        1.0995099        1.0747294      -0.23916070        1.0789641        141.94470       0.24780500E-01
  7266.3884        1.1014074        1.0722675      -0.24056027        1.0762664        144.38840       0.29139900E-01
  7268.9011        1.1022522        1.0697260      -0.24199939        1.0734979        146.90110       0.32526200E-01
  7271.3707        1.1011670        1.0672187      -0.24341381        1.0707822        149.37070       0.33948300E-01
  7273.9207        1.0968847        1.0646203      -0.24487429        1.0679837        151.92070       0.32264400E-01
  7276.5063        1.0896655        1.0619764      -0.24635515        1.0651519        154.50630       0.27689100E-01
  7279.0825        1.0796905        1.0593333      -0.24783067        1.0623361        157.08250       0.20357200E-01
  7281.4918        1.0677709        1.0568542      -0.24921052        1.0597081        159.49180       0.10916700E-01
  7284.1280        1.0535296        1.0541336      -0.25072041        1.0568382        162.12800      -0.60400000E-03
  7286.6761        1.0388369        1.0514969      -0.25217976        1.0540701        164.67610      -0.12660000E-01
  7289.1808        1.0252689        1.0488986      -0.25361432        1.0513546        167.18080      -0.23629700E-01
  7291.9020        1.0125549        1.0460691      -0.25517282        1.0484106        169.90200      -0.33514200E-01
  7294.6478        1.0049324        1.0432075      -0.25674547        1.0454464        172.64780      -0.38275100E-01
  7297.3619        1.0017291        1.0403733      -0.25829992        1.0425229        175.36190      -0.38644200E-01
  7299.8969        1.0020062        1.0377214      -0.25975182        1.0397981        177.89690      -0.35715200E-01
  7302.5698        1.0061912        1.0349210      -0.26128264        1.0369313        180.56980      -0.28729800E-01
  7305.3240        1.0118459        1.0320313      -0.26286009        1.0339836        183.32400      -0.20185400E-01
  7308.1031        1.0176879        1.0291120      -0.26445177        1.0310161        186.10310      -0.11424100E-01
  7310.9298        1.0233727        1.0261396      -0.26607072        1.0280045        188.92980      -0.27669000E-02
  7313.6451        1.0270807        1.0232822      -0.26762589        1.0251182        191.64510       0.37985000E-02
  7316.3398        1.0289684        1.0204449      -0.26916922        1.0222602        194.33980       0.85235000E-02
  7319.1731        1.0292163        1.0174606      -0.27079197        1.0192619        197.17310       0.11755700E-01
  7322.1113        1.0282723        1.0143655      -0.27247476        1.0161600        200.11130       0.13906800E-01
  7325.0177        1.0262630        1.0113041      -0.27413935        1.0130991        203.01770       0.14958900E-01
  7327.7096        1.0234467        1.0084695      -0.27568115        1.0102705        205.70960       0.14977200E-01
  7330.5978        1.0195606        1.0054299      -0.27733531        1.0072428        208.59780       0.14130700E-01
  7333.6712        1.0146257        1.0021980      -0.27909557        1.0040289        211.67120       0.12427700E-01
  7336.4156        1.0094656       0.99931523      -0.28066736        1.0011660        214.41560       0.10150370E-01
  7339.2995        1.0037065       0.99628961      -0.28231905       0.99816467        217.29950       0.74168900E-02
  7342.4034       0.99705389       0.99303821      -0.28409679       0.99494237        220.40340       0.40156800E-02
  7345.3151       0.99097685       0.98999375      -0.28576442       0.99192725        223.31510       0.98310000E-03
  7348.2866       0.98544173       0.98689311      -0.28746630       0.98885783        226.28660      -0.14513800E-02
  7351.3295       0.98071048       0.98372540      -0.28920908       0.98572258        229.32950      -0.30149200E-02
  7354.3750       0.97719849       0.98056332      -0.29095337       0.98259270        232.37500      -0.33648300E-02
  7357.4117       0.97406777       0.97741965      -0.29269256       0.97947998        235.41170      -0.33518800E-02
  7360.4970       0.97046026       0.97423581      -0.29445964       0.97632557        238.49700      -0.37755500E-02
  7363.5965       0.96636350       0.97104857      -0.29623485       0.97316497        241.59650      -0.46850700E-02
  7366.7103       0.96222490       0.96785875      -0.29801823       0.96999825        244.71030      -0.56338500E-02
  7369.8730       0.95827779       0.96463125      -0.29982964       0.96679041        247.87300      -0.63534600E-02
  7372.9923       0.95487866       0.96146028      -0.30161617       0.96363511        250.99230      -0.65816200E-02
  7376.1260       0.95285110       0.95828689      -0.30341091       0.96047386        254.12600      -0.54357900E-02
  7379.4708       0.95062008       0.95491296      -0.30532660       0.95710899        257.47080      -0.42928800E-02
  7382.5638       0.94927795       0.95180523      -0.30709807       0.95400610        260.56380      -0.25272800E-02
  7385.6710       0.94801126       0.94869483      -0.30887772       0.95089725        263.67100      -0.68357000E-03
  7389.1177       0.94779582       0.94525832      -0.31085176       0.94745865        267.11770       0.25375000E-02
  7392.2540       0.94684064       0.94214369      -0.31264800       0.94433873        270.25400       0.46969500E-02
  7395.5907       0.94532043       0.93884280      -0.31455908       0.94102874        273.59070       0.64776300E-02
  7398.9190       0.94316632       0.93556344      -0.31646529       0.93773685        276.91900       0.76028800E-02
  7402.0639       0.94014833       0.93247668      -0.31826649       0.93463514        280.06390       0.76716500E-02
  7405.5498       0.93564333       0.92906866      -0.32026301       0.93120715        283.54980       0.65746700E-02
  7408.7473       0.93086403       0.92595503      -0.32209431       0.92807213        286.74730       0.49090000E-02
  7412.2865       0.92480535       0.92252230      -0.32412134       0.92461239        290.28650       0.22830500E-02
  7415.6187       0.91896879       0.91930343      -0.32602980       0.92136500        293.61870      -0.33464000E-03
  7419.0125       0.91265522       0.91603792      -0.32797356       0.91806745        297.01250      -0.33827000E-02
  7422.4095       0.90751806       0.91278226      -0.32991918       0.91477681        300.40950      -0.52642000E-02
  7425.9271       0.90324828       0.90942463      -0.33193383       0.91137997        303.92710      -0.61763500E-02
  7429.3308       0.89957219       0.90618880      -0.33388321       0.90810343        307.33080      -0.66166100E-02
  7432.8317       0.89699559       0.90287375      -0.33588830       0.90474376        310.83170      -0.58781600E-02
  7436.3831       0.89824340       0.89952453      -0.33792231       0.90134653        314.38310      -0.12811300E-02
  7439.7731       0.89159965       0.89634017      -0.33986390       0.89811389        317.77310      -0.47405200E-02
  7443.4493       0.88850519       0.89290094      -0.34196938       0.89461969        321.44930      -0.43957500E-02
  7446.9286       0.88637570       0.88965908      -0.34396211       0.89132342        324.92860      -0.32833800E-02
  7450.5530       0.88420350       0.88629556      -0.34603796       0.88790086        328.55300      -0.20920600E-02
  7454.1930       0.88242614       0.88293146      -0.34812269       0.88447517        332.19300      -0.50532000E-03
  7457.6709       0.88077435       0.87972990      -0.35011462       0.88121272        335.67090       0.10444500E-02
  7461.4010       0.87910604       0.87631000      -0.35225098       0.87772542        339.40100       0.27960400E-02
  7464.9808       0.87727888       0.87304120      -0.35430125       0.87439001        342.98080       0.42376800E-02
  7468.7422       0.87478784       0.86962044      -0.35645556       0.87089738        346.74220       0.51674000E-02
  7472.3293       0.87206987       0.86637137      -0.35851002       0.86757808        350.32930       0.56985000E-02
  7476.0152       0.86870247       0.86304612      -0.36062104       0.86417906        354.01520       0.56563500E-02
  7479.6095       0.86531624       0.85981622      -0.36267966       0.86087580        357.60950       0.55000200E-02
  7483.6128       0.86097783       0.85623366      -0.36497246       0.85720999        361.61280       0.47441700E-02
  7487.2267       0.85599830       0.85301276      -0.36704226       0.85391270        365.22670       0.29855400E-02
  7491.0472       0.85092077       0.84962115      -0.36923044       0.85043917        369.04720       0.12996200E-02
  7494.8121       0.84579705       0.84629247      -0.37138669       0.84702874        372.81210      -0.49542000E-03
  7498.5090       0.84120159       0.84303668      -0.37350405       0.84369181        376.50900      -0.18350900E-02
  7502.5692       0.83695836       0.83947549      -0.37582948       0.84004067        380.56920      -0.25171300E-02
  7506.2501       0.83334431       0.83626001      -0.37793766       0.83674304        384.25010      -0.29157000E-02
