# data from ifeffit
#------------------------
#   energy      xmu       bkg       deriv
  7313.6451       0.93138281       0.92865022       0.15636068E-01
  7316.3398       0.93385099       0.92771939       0.95346427E-02
  7319.1731       0.93519667       0.92673991       0.46929809E-02
  7322.1113       0.93572819       0.92572389       0.70873492E-03
  7325.0177       0.93548017       0.92471908      -0.29121059E-02
  7327.7096       0.93456334       0.92378905      -0.63060633E-02
  7330.5978       0.93295774       0.92279243      -0.97235128E-02
  7333.6712       0.93067394       0.92173380      -0.12162720E-01
  7336.4156       0.92809265       0.92079067      -0.13840237E-01
  7339.2995       0.92513784       0.91980230      -0.16154196E-01
  7342.4034       0.92163097       0.91874218      -0.16697259E-01
  7345.3151       0.91845894       0.91775172      -0.14823953E-01
  7348.2866       0.91570139       0.91674549      -0.12268449E-01
  7351.3295       0.91355156       0.91572042      -0.85536958E-02
  7354.3750       0.91227991       0.91470050      -0.56817089E-02
  7357.4117       0.91127888       0.91369014      -0.58125086E-02
  7360.4970       0.90995491       0.91267096      -0.74850759E-02
  7363.5965       0.90828485       0.91165518      -0.84108987E-02
  7366.7103       0.90659055       0.91064342      -0.80766777E-02
  7369.8730       0.90505418       0.90962471      -0.67410943E-02
  7372.9923       0.90389411       0.90862878      -0.33188718E-02
  7376.1260       0.90372663       0.90763701      -0.98583629E-03
  7379.4708       0.90349978       0.90658799       0.20501388E-03
  7382.5638       0.90380863       0.90562670       0.16946728E-02
  7385.6710       0.90417765       0.90466940       0.40852822E-02
  7389.1177       0.90544275       0.90361733       0.46753595E-02
  7392.2540       0.90604779       0.90266891       0.22155782E-02
  7395.5907       0.90632898       0.90166911       0.25710712E-03
  7398.9190       0.90615064       0.90068130      -0.26341820E-02
  7402.0639       0.90527530       0.89975649      -0.66996924E-02
  7405.5498       0.90347076       0.89874109      -0.98131810E-02
  7408.7473       0.90135003       0.89781861      -0.12552498E-01
  7412.2865       0.89844976       0.89680738      -0.14315161E-01
  7415.6187       0.89562397       0.89586470      -0.14923323E-01
  7419.0125       0.89248043       0.89491387      -0.13598659E-01
  7422.4095       0.89018450       0.89397145      -0.97955399E-02
  7425.9271       0.88856221       0.89300534      -0.71611072E-02
  7429.3308       0.88732006       0.89207990      -0.41332007E-02
  7432.8317       0.88690893       0.89113755       0.48743425E-02
  7436.3831       0.88926980       0.89019141      -0.25544003E-02
  7439.7731       0.88588717       0.88929739      -0.10235210E-01
  7443.4493       0.88517571       0.88833792      -0.20245848E-02
  7446.9286       0.88507734       0.88743933      -0.41921118E-03
  7450.5530       0.88500803       0.88651301       0.37948689E-03
  7454.1930       0.88522913       0.88559266       0.11644948E-02
  7457.6709       0.88547383       0.88472248       0.14535011E-02
  7461.4010       0.88581054       0.88379912       0.12430265E-02
  7464.9808       0.88597104       0.88292254      -0.20433678E-03
  7468.7422       0.88572880       0.88201149      -0.17988778E-02
  7472.3293       0.88525149       0.88115212      -0.34528111E-02
  7476.0152       0.88434768       0.88027862      -0.46471671E-02
  7479.6095       0.88339262       0.87943603      -0.60665564E-02
  7483.6128       0.88192105       0.87850820      -0.89119003E-02
  7487.2267       0.87982786       0.87768013      -0.10429324E-01
  7491.0472       0.87774932       0.87681441      -0.10533166E-01
  7494.8121       0.87561459       0.87597099      -0.97935314E-02
  7498.5090       0.87383191       0.87515203      -0.79057645E-02
  7502.5692       0.87245229       0.87426305      -0.61572846E-02
  7506.2501       0.87136900       0.87346648      -0.42591507E-02
  7510.1629       0.87074863       0.87262938      -0.29979734E-02
  7514.0679       0.87016981       0.87180375      -0.31103782E-02
  7517.8207       0.86950448       0.87101945      -0.31926226E-02
  7521.9388       0.86889276       0.87016898      -0.33734801E-02
  7525.8082       0.86815508       0.86937947      -0.37189659E-02
  7529.6456       0.86740517       0.86860558      -0.35477030E-02
  7533.6442       0.86673600       0.86780871      -0.34489867E-02
  7537.6835       0.86602558       0.86701347      -0.28865559E-02
  7541.5698       0.86558138       0.86625747      -0.27001943E-02
  7545.7513       0.86494550       0.86545394      -0.57505907E-02
  7549.7434       0.86328114       0.86469624      -0.14629687E-02
  7553.5818       0.86436031       0.86397628       0.15095827E-02
  7557.8501       0.86388498       0.86318545      -0.21968947E-02
  7561.9286       0.86348155       0.86243927      -0.15840803E-02
  7565.8652       0.86325135       0.86172770      -0.23814454E-02
  7570.2090       0.86252898       0.86095227      -0.40456498E-02
  7574.3257       0.86163309       0.86022668      -0.47010104E-02
  7578.4593       0.86064857       0.85950709      -0.49120429E-02
  7582.4629       0.85966827       0.85881861      -0.50869958E-02
  7586.9000       0.85861377       0.85806513      -0.52252442E-02
  7591.0724       0.85757817       0.85736566      -0.46855881E-02
  7595.2004       0.85673954       0.85668213      -0.39175533E-02
  7599.5177       0.85601115       0.85597618      -0.43113709E-02
  7603.8154       0.85501499       0.85528233      -0.46839730E-02
  7608.1551       0.85413756       0.85459055      -0.39601060E-02
  7612.2900       0.85343095       0.85393958      -0.38564663E-02
  7616.5903       0.85259497       0.85327087      -0.37430454E-02
  7621.0319       0.85193373       0.85258894      -0.31443634E-02
  7625.4540       0.85133723       0.85191865      -0.31176527E-02
  7629.7573       0.85068667       0.85127450      -0.31823682E-02
  7634.1030       0.85006428       0.85063204      -0.24263428E-02
  7638.5657       0.84971613       0.84998048      -0.32693005E-02
  7643.1085       0.84875656       0.84932562      -0.25079670E-02
